LON,LAT,EDO,CLAVE,ESTACION,jun-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",23.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",47.0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",54.2
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",70.5
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",38.2
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",41.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",9.0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",102.0
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",42.7
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",33.6
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",15.4
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",17.4
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",25.1
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",22.6
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",41.9
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",34.8
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.0
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0.0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.0
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo LeÛn, B.C. SMN*",0.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0.0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0.0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0.0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0.0
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.4
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0.0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.0
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",1.4
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",1.1
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.1
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",5.7
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",1.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",4.3
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.1
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",5.9
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",22.7
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.1
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",27.5
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",2.1
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",29.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",34.2
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",0.0
-112.25,27.283333,BCS,STAROSALIAob,"Observatorio de Santa RosalÌa, B.C.S. SMN*",0.6
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",4.7
-89.743889,20.003889,CAMP,BOLCA,"BolonchÈn, Camp.",212.0
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",192.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",207.4
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",139.6
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",239.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",209.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",387.8
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",204.0
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",267.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",138.0
-89.848333,19.751944,CAMP,HPOCA,"HopelchÈn, Camp.",84.3
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",151.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",234.7
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",159.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",253.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",132.9
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",154.5
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",160.5
